2; 311; 622; 0,003300
7; 89; 623; 0,003100
2; 313; 626; 0,002400
17; 37; 629; 0,068700
3; 211; 633; 0,006900
2; 317; 634; 0,002900
5; 127; 635; 0,002500
11; 59; 649; 0,021400
2; 325; 650; 0,002800
5; 131; 655; 0,002600
2; 331; 662; 0,002800
5; 133; 665; 0,004100
23; 29; 667; 0,108700
3; 223; 669; 0,002300
11; 61; 671; 0,019900
2; 337; 674; 0,002500
7; 97; 679; 0,005000
3; 227; 681; 0,003200
5; 137; 685; 0,005800
3; 229; 687; 0,007200
13; 53; 689; 0,068900
2; 347; 694; 0,004700
5; 139; 695; 0,003000
17; 41; 697; 0,069800
2; 349; 698; 0,002300
3; 233; 699; 0,002200
19; 37; 703; 0,095900
47; 15; 705; 0,262500
2; 353; 706; 0,003200
7; 101; 707; 0,002700
23; 31; 713; 0,110200
3; 239; 717; 0,004200
2; 359; 718; 0,002700
7; 103; 721; 0,006000
3; 241; 723; 0,007700
29; 25; 725; 0,141300
17; 43; 731; 3,287400
2; 367; 734; 0,005400
11; 67; 737; 0,021500
19; 39; 741; 0,093000
5; 149; 745; 0,004400
2; 373; 746; 0,003500
83; 9; 747; 0,463600
7; 107; 749; 0,003900
3; 251; 753; 0,004400
5; 151; 755; 0,004000
2; 379; 758; 0,003300
7; 109; 763; 0,007600
2; 383; 766; 0,005900
13; 59; 767; 0,040900
3; 257; 771; 0,005800
37; 21; 777; 0,293900
2; 389; 778; 0,004000
19; 41; 779; 0,140500
11; 71; 781; 0,046800
5; 157; 785; 0,007400
3; 263; 789; 0,004300
7; 113; 791; 0,004600
13; 61; 793; 0,072300
2; 397; 794; 0,003900
17; 47; 799; 0,111100
2; 401; 802; 0,005300
11; 73; 803; 0,031800
3; 269; 807; 0,007700
3; 271; 813; 0,007100
5; 163; 815; 0,006400
19; 43; 817; 0,145100
2; 409; 818; 0,003400
3; 277; 831; 0,007200
5; 167; 835; 0,004800
2; 419; 838; 0,002900
29; 29; 841; 0,132200
2; 421; 842; 0,002300
3; 281; 843; 0,002600
3; 283; 849; 0,005100
23; 37; 851; 0,110200
2; 431; 862; 0,007000
5; 173; 865; 0,015300
2; 433; 866; 0,002400
11; 79; 869; 0,020700
13; 67; 871; 0,040600
2; 439; 878; 0,002500
3; 293; 879; 0,002500
2; 443; 886; 0,002600
7; 127; 889; 0,002600
19; 47; 893; 0,091600
5; 179; 895; 0,003000
2; 449; 898; 0,003700
29; 31; 899; 0,133700
17; 53; 901; 0,073600
5; 181; 905; 0,003000
11; 83; 913; 0,021300
2; 457; 914; 0,002300
7; 131; 917; 0,016900
3; 307; 921; 0,007200
2; 461; 922; 0,002500
13; 71; 923; 0,039900
37; 25; 925; 0,186300
2; 463; 926; 0,002300
103; 9; 927; 0,593900
3; 311; 933; 0,003500
2; 467; 934; 0,002300
3; 313; 939; 0,002800
23; 41; 943; 0,218600
13; 73; 949; 0,085300
3; 317; 951; 0,004500
5; 191; 955; 0,003500
29; 33; 957; 0,136500
2; 479; 958; 0,002300
7; 137; 959; 0,002700
31; 31; 961; 0,151800
5; 193; 965; 0,003200
7; 139; 973; 0,003300
2; 487; 974; 0,002100
11; 89; 979; 0,019500
2; 491; 982; 0,002200
5; 197; 985; 0,002800
